subject,SimCLR,DeepConvLSTM,SelfHARModel,SelfPAB,XGBoost,MOMENT
S006,0.6881,0.7051,0.6497,0.6073,0.7058,0.5099
S008,0.5523,0.5691,0.5517,0.54,0.5096,0.4828
S009,0.3619,0.3719,0.4408,0.3321,0.2954,0.4247
S010,0.5218,0.4858,0.503,0.5137,0.4452,0.5347
S012,0.7947,0.7943,0.7006,0.7694,0.7669,0.6733
S013,0.8315,0.8639,0.8168,0.8283,0.8277,0.8143
S014,0.7601,0.6606,0.7868,0.6813,0.8171,0.7777
S015,0.8959,0.8644,0.8657,0.8371,0.8381,0.7696
S016,0.944,0.9252,0.8983,0.8727,0.8235,0.8363
S017,0.8122,0.8069,0.791,0.7543,0.7666,0.7931
S018,0.8413,0.8343,0.8477,0.8464,0.7885,0.8111
S019,0.9166,0.9403,0.8974,0.922,0.8801,0.8735
S020,0.8734,0.8723,0.8619,0.8198,0.8797,0.8757
S021,0.8518,0.7991,0.8578,0.8792,0.8588,0.8589
S022,0.8658,0.8721,0.8588,0.8648,0.8761,0.8666
S023,0.7819,0.7739,0.7025,0.6848,0.7464,0.7248
S024,0.7049,0.697,0.7215,0.6979,0.6916,0.715
S025,0.8441,0.8099,0.812,0.8466,0.8686,0.8333
S026,0.7109,0.6622,0.728,0.743,0.6899,0.7636
S027,0.6582,0.6295,0.66,0.6953,0.6531,0.6945
S028,0.6689,0.6589,0.5842,0.659,0.6538,0.6597
S029,0.8603,0.8244,0.903,0.8349,0.8808,0.8417
