rank,delta_nats,n_events,category,regime
1,0.63,176,other,reveal_before_wire
2,1.549,365,geopolitics,reveal_before_wire
3,1.88,366,geopolitics,reveal_before_wire
4,2.207,690,other,reveal_before_wire
5,2.311,243,other,reveal_before_wire
6,2.57,981,other,reveal_before_wire
7,3.248,187,crypto,reveal_before_wire
8,4.031,704,politics,reveal_before_wire
9,4.168,3763,other,reveal_before_wire
10,4.671,1712,politics,reveal_before_wire
11,5.048,609,politics,reveal_before_wire
12,5.625,1056,geopolitics,reveal_before_wire
13,5.868,278,other,reveal_before_wire
14,6.868,1116,politics,reveal_before_wire
15,7.31,1014,sports,scheduled_reveal
16,7.402,653,geopolitics,reveal_before_wire
17,7.494,114,other,reveal_before_wire
18,7.604,1031,sports,scheduled_reveal
19,7.637,1183,geopolitics,reveal_before_wire
20,7.73,947,geopolitics,reveal_before_wire
21,8.704,842,crypto,reveal_before_wire
22,9.689,521,other,reveal_before_wire
23,12.188,135,other,reveal_before_wire
24,47.028,69,other,reveal_before_wire
25,130.469,148,sports,scheduled_reveal
26,132.071,133,other,reveal_before_wire
27,212.497,136,other,reveal_before_wire
28,323.804,118,sports,scheduled_reveal
29,594.188,254,sports,scheduled_reveal
30,771.061,380,sports,scheduled_reveal
31,834.286,402,other,reveal_before_wire
32,1494.732,577,sports,scheduled_reveal
33,1962.856,816,other,reveal_before_wire
34,4770.487,1449,sports,scheduled_reveal
